"","day","temp","dewp","wdsp","NUM_CRIME"
"522",7,70.5,57.4,9.9,0.653965746085032
"523",1,73,53.1,10.2,0.855785484515757
"524",2,64,48,9.6,0.344508813824589
"525",3,61.5,48,6.9,0.209962321537439
"526",4,63.9,50.8,6.4,-0.0456760138081444
"527",5,77.2,62.2,8.5,0.492509955340453
"528",6,85.2,62.4,9.4,1.1652424167762
"529",7,72.8,49.3,10.9,1.63615513978122
"530",1,71.1,48.3,5.7,0.882694782973186
"531",2,77.2,58.5,7.3,1.4343354013505
"532",3,80.6,67.6,9.6,0.828876186058327
"533",4,75.2,62,10,1.23251566291977
"534",5,72.5,54.2,9.1,1.35360750597821
"535",6,76.3,50.8,5.5,0.465600656883023
"536",7,80.4,56.4,6.7,1.11142381986134
"538",2,77.1,51.2,7.4,1.28633425983463
"539",3,73.3,59.2,6.5,0.277235567681014
"540",4,72.3,65.8,7.6,0.976877327574191
"541",5,73.3,57.9,7.3,1.05760522294648
"542",6,79.5,61.5,7.2,1.12487846909006
"543",7,82.8,67.8,8.7,0.613601798398888
"544",1,81.9,59.9,8.8,0.573237850712743
"545",2,69.3,52.9,10.4,0.519419253797883
"546",3,67.9,48.9,6.8,1.01724127526034
"547",4,72.3,48.1,7.2,1.59579119209508
"549",6,67.9,45.9,4.7,0.371418112282019
"550",7,70.4,52,6,0.721238992228607
"551",1,71.9,59.8,6.1,1.58233654286636
"553",3,79.1,66.8,7.6,0.18305302308001
"554",4,78.4,68.5,6.1,0.828876186058327
"555",5,78.6,66.6,7.5,0.828876186058327
"556",6,74.5,58,9.9,0.0081425831067154
"557",7,74.2,56.6,4.7,0.425236709196878
"558",1,81.3,64.9,9.2,-0.368587595297303
"559",2,82.9,69,12.1,0.694329693771177
"560",3,79.1,68.3,7.9,-0.0322213645794294
"561",4,76.5,64.8,12,0.546328552255313
"562",5,72.6,58.3,8.5,1.56888189363765
"563",6,69.3,55.7,6.4,0.694329693771177
"564",7,73.9,59.3,10.2,0.815421536829612
"565",1,78.8,67.5,5.7,0.949968029116761
"566",2,79.6,63.8,4,0.842330835287042
"567",3,80.7,66.8,5.8,1.28633425983463
"568",4,82.5,72.8,7.8,0.748148290686037
"569",5,81.1,70.9,7.7,0.842330835287042
"570",6,86,74.3,4.5,1.13833311831877
"571",7,80.4,72.5,10.8,0.828876186058327
"572",1,79.6,65.3,8.3,1.32669820752078
"574",3,81.5,63.3,3.9,0.896149432201901
"575",4,78.8,66.9,4.4,0.613601798398888
"576",5,75.3,69.1,5.9,0.976877327574191
"578",7,74.4,64.2,7.1,1.13833311831877
"580",2,79.2,65.4,5.4,0.842330835287042
"581",3,81.8,65.7,4.2,0.586692499941458
"582",4,83.5,65.3,5.6,0.869240133744471
"584",6,76.6,61,6.7,1.34015285674949
